Hotel Name,Location,Price,Rating,Reviews Count,Score,Link
Pyramids heart view hotel,"Giza, Cairo","EGP 9,751",Scored 8.0,8.0,Scored 8.0,https://www.booking.com/hotel/eg/pyramids-heart-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1168505103_414649591_0_1_0&highlighted_blocks=1168505103_414649591_0_1_0&matching_block_id=1168505103_414649591_0_1_0&sr_pri_blocks=1168505103_414649591_0_1_0__20242&from=searchresults
Secrets Of The Pyramids Hotel,"Giza, Cairo","EGP 11,965",Scored 9.8,9.8,Scored 9.8,https://www.booking.com/hotel/eg/secrets-of-the-pyramids.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1480266702_419509185_2_41_0&highlighted_blocks=1480266702_419509185_2_41_0&matching_block_id=1480266702_419509185_2_41_0&sr_pri_blocks=1480266702_419509185_2_41_0__24840&from=searchresults
Continental de las pirámides,"Giza, Cairo","EGP 8,770",Scored 10,10,Scored 10,https://www.booking.com/hotel/eg/continental-de-las-piramides-al-haram.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1493430404_420996042_2_41_0_1205259&highlighted_blocks=1493430404_420996042_2_41_0_1205259&matching_block_id=1493430404_420996042_2_41_0_1205259&sr_pri_blocks=1493430404_420996042_2_41_0_1205259_18207&from=searchresults
Pyramids Heart Hotel,"Giza, Cairo","EGP 8,107",Scored 7.8,7.8,Scored 7.8,https://www.booking.com/hotel/eg/pyramids-heart.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1103428701_414599094_2_41_0_1107449&highlighted_blocks=1103428701_414599094_2_41_0_1107449&matching_block_id=1103428701_414599094_2_41_0_1107449&sr_pri_blocks=1103428701_414599094_2_41_0_1107449_16830&from=searchresults
Khattab Pyramids View Hotel,"Giza, Cairo","EGP 13,873",Scored 7.9,7.9,Scored 7.9,https://www.booking.com/hotel/eg/khattab-pyramids.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1132883702_409294669_2_33_0&highlighted_blocks=1132883702_409294669_2_33_0&matching_block_id=1132883702_409294669_2_33_0&sr_pri_blocks=1132883702_409294669_2_33_0__28800&from=searchresults
Montana Hotel,Cairo,"EGP 10,301",Scored 8.2,8.2,Scored 8.2,https://www.booking.com/hotel/eg/montana-abdeen.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1081771207_390215758_0_1_0&highlighted_blocks=1081771207_390215758_0_1_0&matching_block_id=1081771207_390215758_0_1_0&sr_pri_blocks=1081771207_390215758_0_1_0__21384&from=searchresults
Karnak temple pyramids view,"Giza, Cairo","EGP 2,417",Scored 8.4,8.4,Scored 8.4,https://www.booking.com/hotel/eg/ankh-amp-sun-lodge.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1474501503_419604962_0_41_0&highlighted_blocks=1474501503_419604962_0_41_0&matching_block_id=1474501503_419604962_0_41_0&sr_pri_blocks=1474501503_419604962_0_41_0__5018&from=searchresults
Osiris Hotel Cairo,Cairo,"EGP 7,462",Scored 8.3,8.3,Scored 8.3,https://www.booking.com/hotel/eg/osiris.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=41662901_383661921_0_42_0&highlighted_blocks=41662901_383661921_0_42_0&matching_block_id=41662901_383661921_0_42_0&sr_pri_blocks=41662901_383661921_0_42_0__15492&from=searchresults
West Pyramids Hotel,"Giza, Cairo","EGP 16,691",Scored 8.8,8.8,Scored 8.8,https://www.booking.com/hotel/eg/west-pyramids.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1275511503_417691735_2_41_0&highlighted_blocks=1275511503_417691735_2_41_0&matching_block_id=1275511503_417691735_2_41_0&sr_pri_blocks=1275511503_417691735_2_41_0__34650&from=searchresults
Egypt Pyramids Hotel,"Giza, Cairo","EGP 1,561",Scored 1.0,1.0,Scored 1.0,https://www.booking.com/hotel/eg/eslam-pyramids-lhrm.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1158414903_388718770_0_42_0&highlighted_blocks=1158414903_388718770_0_42_0&matching_block_id=1158414903_388718770_0_42_0&sr_pri_blocks=1158414903_388718770_0_42_0__3240&from=searchresults
Cairo Crystal Hotel,Cairo,"EGP 13,734",Scored 10,10,Scored 10,https://www.booking.com/hotel/eg/cairo-crystal.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1475397403_420622652_2_1_0&highlighted_blocks=1475397403_420622652_2_1_0&matching_block_id=1475397403_420622652_2_1_0&sr_pri_blocks=1475397403_420622652_2_1_0__28512&from=searchresults
Comfort Sphinx & Pyramids Inn,"Giza, Cairo","EGP 3,652",Scored 8.9,8.9,Scored 8.9,https://www.booking.com/hotel/eg/may-pyramids-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__7581&from=searchresults
Falcon Pyramids INN,"Giza, Cairo","EGP 4,791",Scored 8.4,8.4,Scored 8.4,https://www.booking.com/hotel/eg/secret-kheops-view-inn.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1293596801_403415630_2_41_0&highlighted_blocks=1293596801_403415630_2_41_0&matching_block_id=1293596801_403415630_2_41_0&sr_pri_blocks=1293596801_403415630_2_41_0__9945&from=searchresults
